bv_id,year,net_assets_th_gbp
GB07114772,2011,0.313
GB07114772,2012,0.313
GB07114772,2013,0.313
GB07114772,2014,0.313
GB07114772,2015,0.313
GB07114772,2016,0.313
GB07114798,2011,-0.436
GB07114798,2012,-1.253
GB07114798,2013,-2.905
GB07114798,2014,-2.761
GB07114798,2015,-2.761
GB07114798,2016,-2.761
GB07114798,2017,0.1
GB07114798,2018,0.1
GB07114838,2011,-0.505
GB07114838,2012,-2.561
GB07114838,2013,7.658
GB07114838,2014,21.344
GB07114838,2015,19.28
GB07114838,2016,22.798
GB07114838,2017,39.533
GB07114838,2018,44.736
GB07114838,2019,39.009
GB07114865,2011,-6.493
GB07114865,2012,-11.257
GB07114865,2013,-11.257
GB07114865,2014,-11.257
GB07114865,2015,8.915
GB07114865,2016,135.507
GB07114865,2017,112.487
GB07114865,2018,120.646
GB07114865,2019,54.569
GB07114872,2011,0.189
GB07114872,2012,1.276
GB07114884,2011,0.002
GB07114884,2012,0.002
GB07114884,2013,-2.995
GB07114884,2014,-7.265
GB07114884,2015,1.101
GB07114884,2016,-13.479
GB07114884,2017,-37.746
GB07114884,2018,-23.566
GB07114884,2019,-5.692
GB07114896,2011,-3.136
GB07114896,2012,-2.147
GB07114896,2013,-9.465
GB07114896,2014,-3.461
GB07114896,2015,-2.035
GB07114896,2016,-3.578
GB07114896,2017,3.785
GB07114896,2018,-1.952
GB07114896,2019,-1.952
GB07114903,2011,-48.507
GB07114903,2012,-16.418
GB07114903,2013,-122.955
GB07114903,2014,29.402
GB07114903,2015,36.047
GB07114903,2016,47.272
GB07114903,2017,126.303
GB07114903,2018,187.258
GB07114911,2011,1.622
GB07114911,2012,3.472
GB07114911,2013,3.869
GB07114911,2014,2.946
GB07114911,2015,1.0
GB07114911,2016,4.475
GB07114911,2017,7.733
GB07114911,2018,8.432
GB07114911,2019,12.996
GB07114945,2011,-30.529
GB07114945,2012,-13.654
GB07114945,2013,22.684
GB07114945,2014,15.0
GB07114945,2015,15.0
GB07114945,2016,15.0
GB07114945,2017,16.0
GB07114945,2018,66.0
GB07114946,2011,-0.264
GB07114946,2012,0.763
GB07114946,2013,22.608
GB07114950,2011,-2.407
GB07114950,2012,3.431
GB07114950,2013,1.018
GB07114950,2014,7.962
GB07114950,2015,14.944
GB07114950,2016,16.109
GB07114950,2017,15.832
GB07114950,2018,11.18
GB07114950,2019,14.209
GB07114956,2011,0.111
GB07114956,2012,0.111
GB07114956,2013,0.006
GB07114956,2014,0.049
GB07114956,2015,0.235
GB07114956,2016,0.155
GB07114956,2017,0.095
GB07114956,2018,0.05
GB07114959,2011,0.891
GB07114959,2012,2.813
GB07114959,2013,1.76
GB07114959,2014,1.551
GB07114959,2015,4.832
GB07114959,2016,3.584
GB07114959,2017,2.6
GB07114959,2018,0.618
GB07114959,2019,2.571
GB07114962,2011,-2.376
GB07114962,2012,1.62
GB07114962,2013,14.55
GB07114962,2014,11.443
GB07114962,2015,11.209
GB07114962,2016,15.3
GB07114962,2017,16.336
GB07114962,2018,18.088
GB07114962,2019,18.083
GB07114966,2011,0.001
GB07114966,2012,0.001
GB07114966,2013,0.001
GB07114966,2014,13.701
GB07114966,2015,27.772
GB07114966,2016,50.365
GB07114966,2017,11.19
GB07114969,2011,1.779
GB07114969,2012,14.133
